TipoOp,ConsOP,Actividad,Descripcion Actividad,Version,Comentario,Proceso
FBREP,467,PERF,PERFORAR,4,PERFORAR,R1487C
FBREP,478,PERF,PERFORAR,3,"-REALIZAR 1 PERFORACION DE Ø 1/4 PARA PROCESO DE TRATAMIENTO TERMICO GARANTIZANDO UN PASO DE 40MM.
(VER PLANO).
",30607413E
FBREP,230,PERF,PERFORAR,2,"MECANIZAR LADO ADITAMENTO:

-FRESAR AGUJEROS
-AVELLANAR",30179097D
FBREP,492,PERF,PERFORAR,1,"»REPASAR PERFORACIONES GARANTIZANDO Ø DE LOS AGUJEROS 
»PULIR  ARISTAS VIVAS ",PD0002673
FBREP,229,PERF,PERFORAR,2,"MECANIZAR LADO ADITAMENTO:

-FRESAR AGUJEROS
-AVELLANAR
",30179009C
FBREP,118,PERF,PERFORAR,4,PERFORAR,PD0001616D
FBREP,422,PULI3,PULIR3,2,"PULIR REBABA.
",30392656H
FBREP,438,SERV39,SERVICIO39,11,NOTA: EL PROVEDOR DE GALVANIZADO EN CALIENTE ASUME EL REPROCESO.,5860012237
FBREP,481,SERV39,SERVICIO39,11,NOTA: EL PROVEDOR DE GALVANIZADO EN CALIENTE ASUME EL REPROCESO.,5860012237
FBREP,480,SERV39,SERVICIO39,9,NOTA: EL PROVEEDOR DE GALVANIZADO EN CALIENTE ASUME EL REPROCESO.,5860012238
FBREP,7,DOBL3,DOBLAR3,2,"460 
DOBLAR  A 60º",1000189006
FBREP,386,DOBL3,DOBLAR3,1,CERRAR SOLO SI ES NECESARIO,PD02510
FBREP,351,DOBL3,DOBLAR3,2,"DOBLAR 
TROQUEL 586 DIE-SET 101

NOTA:APLICAR LUBRICANTE A LA PIEZA ",PD0002309A
FBREP,353,DOBL3,DOBLAR3,1,"DOBLAR 


TL-6 DIE-SET S-10",PD0002309C
FBREP,352,DOBL3,DOBLAR3,1,"DOBLAR 


TL-6 DIE-SET S-10",PD0002309B
FBREP,476,DOBL3,DOBLAR3,2,"•DAR ESCUADRA.
•ABRIR SUJETADOR.",30607413C
FBREP,174,PINA,PINAR,2,"4.1).DOBLAR PIN
4.2).VALIDAR ESCUALIZACION.

____ PIN EN ""L"" SUELTOS",PD0001635
FBREP,332,PINA,PINAR,3,"DOBLAR PIN
VALIDAR ESCUALIZACION

______ PIN EN ""L"" SUELTOS",54987-1
FBREP,412,PINA,PINAR,2,"CERRAR PIN 

_____PINES EMPALME ",30392656
FBREP,483,PINA,PINAR,1,"4.1).CERRAR PINES 

____ PINES SUELTOS",30586248A2
FBREP,231,PINA,PINAR,2,"3.1).PINAR

3.2).VALIDAR ESCUALIZACIÓN


______ PINE(S)EMPALME
",13001692
FBREP,371,PINA,PINAR,1,"8.1).PINAR

8.2).VALIDAR ESCUALIZACIÓN


______ PINE(S)EMPALME

",LA00084-1
FBREP,350,PINT,PINTAR,1,5.1) ANTICORROSIVO NEGRO,PD0002309
FBREP,221,PINT,PINTAR,3,5.1).ANTICORROSIVO,037704
FBREP,123,PINT,PINTAR,1,ANTICORROSIVO GRIS,PD0001588B
FBREP,300,PINT,PINTAR,2,15.1).PINTAR DE COLOR AMARILLO ,PD0002111A
FBREP,443,PINT,PINTAR,1,"5.1).APLICAR PINTURA PARA GRADO B7 DE COLOR BLANCO. (ESPARRAGO Y TUERCA)
(SEGUN ESQUEMA).


5.2).APLICAR PINTURA PARA GRADO B7M DE COLOR ROJO. (ESPARRAGO Y TUERCA)
(SEGUN ESQUEMA).

NOTA: SOLO SE PINTA EL LADO DE LA COLADA DEL ESPARRAGO, SE DEBE DEJAR VISIBLE EL GRADO.",APLICPINTU
FBREP,236,PINT,PINTAR,3,9.1).PINTAR CON ANTICORROSIVO GRIS.,16763
FBREP,199,PINT,PINTAR,1,9.1).PINTAR CON ANTICORROSIVO NEGRO.,PD198313A
FBREP,304,PINT,PINTAR,5,18.1).PINTAR DE COLOR AMARILLO ( ANTICORROSIVO),83094
FBREP,28,PINT,PINTAR,1,ANTOCORROSIVO,PD0001805
FBREP,377,PINT,PINTAR,1,PINTAR CON ANTICORROSIVO NEGRO.,PD0002495
FBREP,128,PINT,PINTAR,1,ANTICORROSIVO GRIS,PD00158821
FBREP,358,PINT,PINTAR,3,18.1)PINTAR DE COLOR AMARILLO ( ANTICORROSIVO),30573114-3
FBREP,374,PINT,PINTAR,4,14.1).PINTAR DE COLOR AMARILLO ,19619
FBREP,381,PINT,PINTAR,1,5.1).ANTICORROSIVO NEGRO ,30449957-2
FBREP,41,PINT,PINTAR,1,ANTICORROSIVO NEGRO,PD01336
FBREP,359,PINT,PINTAR,4,"18.1)PINTAR DE COLOR AMARILLO ( ANTICORROSIVO)

VER NOTA.",6352045180
FBREP,130,PINT,PINTAR,1,ANTICORROSIVO GRIS,PD00158828
FBREP,428,PINT,PINTAR,2,16.1)PINTAR DE COLOR AMARILLO ( ANTICORROSIVO),PD0002355H
FBREP,97,PINT,PINTAR,1,"APLICAR ANTICORROSIVO
PINTAR DE NARANJADO",PD016002
FBREP,408,PINT,PINTAR,1,ANTICORROSIVO NEGRO,PD00021991
FBREP,202,PINT,PINTAR,1,9.1).PINTAR CON ANTICORROSIVO NEGRO.,PD198313B
FBREP,254,PINT,PINTAR,1,PINTAR DE COLOR AMARILLO,PD0002210A
FBREP,258,PINT,PINTAR,1,PINTAR DE COLOR AMARILLO,PD0002210A
FBREP,35,PINT,PINTAR,1,ANTICORROSIVO NEGRO,PD01337
FBREP,240,PINT,PINTAR,2,10.1).PINTAR CON ANTICORROSIVO GRIS.,16767
FBREP,228,PINT,PINTAR,2,CARAS PLANAS,30179097B
FBREP,101,PINT,PINTAR,2,ANTICORROSIVO,037704
FBREP,25,PINT,PINTAR,1,ANTOCORROSIVO,PD0001806
FBREP,410,PINT,PINTAR,4,15.1).PINTAR DE COLOR AMARILLO,30375034
FBREP,147,PINT,PINTAR,3,ANTICORROSIVO NEGRO.,1062674
FBREP,122,PINT,PINTAR,1,ANTICORROSIVO GRIS,PD0001588A
FBREP,215,PINT,PINTAR,2,5.1).ANTICORROSIVO GRIS,1495604
FBREP,308,PINT,PINTAR,1,.PINTAR CON ANTICORROSIVO GRIS,PD0002334
FBREP,375,SERV12,SERVICIO12,3,"GALVANIZADO ORGÁNICO ASTM F1136
 
CAPA DE 8 - 15 µm",1021011210
FBREP,426,SERV20,SERVICIO20,1,"-SERVICIO DE SOLDADURA HELICES A TUBO.
",PD0002586
FBREP,470,TROQ1,TROQUELAR1,2,7.1) DESBARBAR SOLDADURA CADENA.,500644
FBREP,460,TROQ1,TROQUELAR1,3,"TROQUEL: #202
FORMAR ESTRIAS 
NOTA: VALIDAR CON PROBADOR (PASA, NO PASA) EL DIAMETRO DESPUES DEL ESTRIADO",R1487E
FBREP,469,TROQ1,TROQUELAR1,2,"TROQUEL: #202

FORMAR ESTRIAS 

NOTA: VALIDAR CON PROBADOR (PASA, NO PASA) EL DIAMETRO DESPUES DEL ESTRIADO",R1487E
FBREP,456,TROQ1,TROQUELAR1,2,"TROQUEL: #202

FORMAR ESTRIAS 

NOTA: VALIDAR CON PROBADOR (PASA, NO PASA) EL DIAMETRO DESPUES DEL ESTRIADO",R1487E
FBREP,385,TROQ1,TROQUELAR1,1,"TROQUEL: #202

FORMAR ESTRIAS 

",PD02511
FBREP,407,TROQ1,TROQUELAR1,2,"TROQUEL #201

FORMAR ESTRIADO",30351506E
FBREP,277,TROQ1,TROQUELAR1,2,"TROQUEL:

FORMAR ESTRIAS 
",PD0001788G
FBREP,120,CORT,CORTAR,4,"A UNA LONGITUD DE 55(+1)





",PD0001616F
FBREP,45,CORT,CORTAR,1,HACER RANURA,PD01336D
FBREP,354,CORT,CORTAR,2,CORTAR A UNA LONGITUD DE 70(±1),PD0002309D
FBREP,117,CORT,CORTAR,2,CORTAR  EXTERIOR,PD0001616C
FBREP,19,CORT,CORTAR,1,A UNA LONGITUD 69(+1),PD01399K1
FBREP,111,CORT,CORTAR,1," ________ TRAMO(S) A UNA LONGITUD DE ________ mm(+1)
 ________ TRAMO(S) A UNA LONGITUD DE ________ mm(+1)



CORTAR ____ UND(S) PARA ENSAYO",PD0001920D
FBREP,39,CORT,CORTAR,2,AJUSTAR PESTAÑA,PD01337D
FBREP,401,CORT,CORTAR,2,"A UNA LONGITUD DE 141(+1) 

CORTAR______UND(S) PARA ENSAYO

GARANTIZAR QUE EL MATERIAL ESTE BONIFICADO ENTRE 27-32 HRC.",4010593B
FBREP,234,CORT,CORTAR,1,"CORTAR PUNTAS DE DIAMETRO 1/4X71mm EN  INOX  PARA DOBLAR EN S

SACAR MATERIAL DE PUNTAS",13001692E
FBREP,237,CORT,CORTAR,2,"1.1).CORTAR RECTANGULO DE 107X437

-VERIFICAR DUREZA",16763A
FBREP,77,CORT,CORTAR,1,CONTORNO SOBREDIMENSIONADO,PD0001754L
FBREP,100,CORT,CORTAR,5,CORTAR A UNA LONGITUD DE 34(+1),10020192
FBREP,475,CORT,CORTAR,1,"CORTAR A UNA LONGITUD DE 193(+1) CORTAR EN LA Max.

CORTAR ______ UND(S) MAS PARA ENSAYO

",30607413B
FBREP,96,CORT,CORTAR,1,"CORTAR A UNA LONGITUD DE 64(+1)


CORTAR ____ UND(S) PARA ENSAYO",PD0001876B
FBREP,94,CORT,CORTAR,1,CORTAR A UNA LONGITUD 51(+1) CORTAR EN LA Max.,PD0001876A
FBREP,126,CORT,CORTAR,1,CORTAR SOBREDIMENSIONADO,PD0158822A
FBREP,15,CORT,CORTAR,1,A UNA LONGITUD DE 106(+1),CBT8U7ZZ
FBREP,383,CORT,CORTAR,1,"A UNA LONGITUD DE 645(+1)

NOTA: SE CORTA DE MAYOR LONGITUD PORQUE SE PIERDE            MEDIDA EN EL ACOLILLADO.",304499572B
FBREP,164,CORT,CORTAR,2,"A UNA LONGITUD DE 151(+1) CORTAR EN LA MAXIMA 


CORTAR _____ UND(S) MAS PARA ENSAYO",30301439C
FBREP,486,CORT,CORTAR,1,"A UNA LONGITUD DE 45(+1) 

CORTAR _____ UND(S) PARA ENSAYO
",30586248A5
FBREP,137,CORT,CORTAR,2,A UNA LONGITUD DE 201(+1),1ARU150002
FBREP,3,CORT,CORTAR,2,A UNA LONGITUD DE 367(+2) ,4001899
FBREP,59,CORT,CORTAR,2,CORTAR SOBREDIMENSIONADO,1465030G
FBREP,408,CORT,CORTAR,1,"•CORTAR PERFIL UPN
•CORTAR TUBERIA RECTANGULAR",PD00021991
FBREP,176,CORT,CORTAR,2,"CORTAR_______ A UNA LONGITUD DE  1000(+1)mm
CORTAR_______ A UNA LONGITUD DE ______(+1)mm",1DCI020003
FBREP,46,CORT,CORTAR,2,AJUSTAR PESTAÑA,PD01336E
FBREP,364,CORT,CORTAR,1,"_____ TRAMO(S)DE ______(+1)mm


_____ TRAMO(S)DE ______(+1)mm


",1122830NC
FBREP,78,CORT,CORTAR,1,"_______ TRAMO(S)DE ________ (+1)mm



_______ TRAMO(S)DE ________ (+1)mm


",PD0001754M
FBREP,113,CORT,CORTAR,1," ________ TRAMO(S) A UNA LONGITUD DE ________ mm(+1)
 ________ TRAMO(S) A UNA LONGITUD DE ________ mm(+1)





",PD0001920F
FBREP,156,CORT,CORTAR,2,"A UNA LONGITUD DE 183(+1) CORTAR EN LA Max

CORTAR ______UND(S) PARA ENSAYO",PD0001635B
FBREP,154,CORT,CORTAR,2,"A UNA LONGITUD DE 183(+1) CORTAR EN LA Max

CORTAR ______UND(S) PARA ENSAYO",PD0001635B
FBREP,362,CORT,CORTAR,1,"A UNALONGITUD DE 63.5(+1)CORTAR EN LA Max.

!OJO¡ CORTE DERECHO

",1122830NA
FBREP,67,CORT,CORTAR,1,A UNA LONGITUD DE 191(±1),PD0001754D
FBREP,68,CORT,CORTAR,1,A UNA LONGITUD DE 92.1(±1),PD0001754E
FBREP,211,CORT,CORTAR,1,1.1).CORTAR CONTORNO EXTERIOR CON DIMENSIONES FINALES Y APROXIMAR AGUJERO CENTRAL.,PD19832A23
FBREP,388,CORT,CORTAR,3,A UNA LONGITUD DE 297(+2) ,1100032312
FBREP,266,CORT,CORTAR,2,"A UNA LONGITUD DE 201(+1) CORTAR EN LA Máx.


CORTAR _____ UND(S) MÁS PARA ENSAYO",PD01923B
FBREP,247,CORT,CORTAR,2,"A UNA LONGITUD DE 201(+1) CORTAR EN LA Máx.


CORTAR _____ UND(S) MÁS PARA ENSAYO",PD01923B
FBREP,252,CORT,CORTAR,2,"A UNA LONGITUD DE 201(+1) CORTAR EN LA Máx.


CORTAR _____ UND(S) MÁS PARA ENSAYO",PD01923B
FBREP,348,CORT,CORTAR,1,CORTAR ANGULO 400mm,PD0002334D
FBREP,97,CORT,CORTAR,1,"PASADORES 
ESPARRAGO
ANGULO",PD016002
FBREP,80,CORT,CORTAR,1,"_______ TRAMO(S) DE _______ (+1)mm

",PD0001754Q
FBREP,138,CORT,CORTAR,1,"_______ TRAMO(S)DE ________ (+1)mm


_______ TRAMO(S)DE ________ (+1)mm


",1ARU170005
FBREP,267,CORT,CORTAR,2,"A UNA LONGITUD DE 85(+1) CORTAR EN LA Max.

¡OJO! CORTE DERECHO",0206310171
FBREP,262,CORT,CORTAR,2,"A UNA LONGITUD DE 85(+1) CORTAR EN LA Max.

¡OJO! CORTE DERECHO",0206310171
FBREP,345,CORT,CORTAR,4,A UNA LONGITUD 254(+1) CORTAR EN LA Max.,26084B
FBREP,457,CORT,CORTAR,6,A UNA LONGITUD DE 206(+1) ,30169435
FBREP,143,CORT,CORTAR,3,"CORTAR DISCOS DE 79.5(±1)
",1ARU140003
FBREP,270,CORT,CORTAR,6,"A UNA LONGITUD DE 80(+1) 
CORTAR _____ UND(S) PARA ENSAYO",6000036
FBREP,274,CORT,CORTAR,3,"A UNA LONGITUD DE 203(+1)CORTAR EN LA Max

CORTAR ______UND(S) PARA ENSAYO",PD0001788D
FBREP,119,CORT,CORTAR,3,"A UNA LONGITUD DE 80(+1) CORTAR EN LA Max.
CORTAR _____ UND(S) MÁS PARA ENSAYO",PD0001616E
FBREP,320,CORT,CORTAR,1,A UNA LONGITUD DE 32(+1),PD0002334C
FBREP,458,CORT,CORTAR,13,A UNA LONGITUD DE 79(+1) ,30413868
FBREP,458,CORT,CORTAR,12,A UNA LONGITUD DE 71(+1) DEFINIÓ (JULIO OVIEDO EL DIA 11/06/2020),30413868
FBREP,81,CORT,CORTAR,1,"_______ TRAMO(S) DE _______ (+1)mm

",PD0001754R
FBREP,177,CORT,CORTAR,1,CORTAR EXTERIOR CON DIMENSIONES FINALES,1DCI040005
FBREP,33,CORT,CORTAR,1,CONTORNO EXTERNO SEGUN PLANO,PD01422D
FBREP,169,CORT,CORTAR,2,CORTAR CONTORNO CON DIMENSIONES FINALES Y HACER AGUJERO APROXIMADO PARA PROCESO DE TEMPLE,PD0001788C
FBREP,215,SOLD1,SOLDAR CAD,2,"3.1).CUBRIR AGUJEROS PARA EVITAR CHISPORROTEO.
3.2).APLICAR CORDON DE SOLDADURA
3.3).ENFRIAR AL AIRE QUIETO

OJO:
•NO PRECALENTAR
•NO RELEVA",1495604
FBREP,391,SOLD2,SOLDAR SW,1,"MONTAR EN DISPOSITIVO.

•CUBRIR AGUJEROS PARA EVITAR CHISPORROTEO.
•APLICAR CORDON DE COLCHON CON ELECTRODO REVESTIDO INOX 309 DE 3/32
•RELLENAR CON SOLDADURA MG598 DE 1/8
•ENFRIAR AL AIRE QUIETO",PD0002395
FBREP,470,SOLD2,SOLDAR SW,2,"• VERIFICAR:
9.1) POROS.
9.2) TRASLAPE.
9.3) SOLDADURA EN GENERAL Y DESBARBADO.
9.4) REPARAR SI ES NECESARIO.",500644
FBREP,300,TEMP1,TEMPLAR1,2,"12.1).TEMPLAR POR INDUCCION EN ZONA MARCADA
SEGUN PLANO",PD0002111A
FBREP,70,TEMP1,TEMPLAR1,1,"REVENIR
",PD0001754G
FBREP,304,TEMP1,TEMPLAR1,5,12.1).TEMPLAR POR INDUCCION ZONA MARCADA( SEGUN EL PLANO),83094
FBREP,171,TEMP1,TEMPLAR1,2,REVENIR,PD0001788F
FBREP,161,TEMP1,TEMPLAR1,2,REVENIR,PD0001788F
FBREP,120,TEMP1,TEMPLAR1,4,TEMPLAR EXTERIOR,PD0001616F
FBREP,94,TEMP1,TEMPLAR1,1,"TEMPLAR POR INDUCCIÓN Ø EXTERIÓR.
",PD0001876A
FBREP,374,TEMP1,TEMPLAR1,4,"9.1).TEMPLAR POR INDUCCION EN ZONA MARCADA
-SEGUN PLANO",19619
FBREP,358,TEMP1,TEMPLAR1,3,12.1)TEMPLAR POR INDUCCION ZONA MARCADA( SEGUN EL PLANO),30573114-3
FBREP,359,TEMP1,TEMPLAR1,4,12.1)TEMPLAR POR INDUCCION ZONA MARCADA( SEGUN EL PLANO),6352045180
FBREP,254,TEMP1,TEMPLAR1,1,"TEMPLAR POR INDUCCION EN ZONA MARCADA
SEGUN PLANO",PD0002210A
FBREP,258,TEMP1,TEMPLAR1,1,"TEMPLAR POR INDUCCION EN ZONA MARCADA
SEGUN PLANO",PD0002210A
FBREP,428,TEMP1,TEMPLAR1,2,10.1)TEMPLAR POR INDUCCION ZONA MARCADA( SEGUN EL PLANO),PD0002355H
FBREP,152,TEMP1,TEMPLAR1,2,TEMPLAR Y REVENIR ,PD0001635A
FBREP,410,TEMP1,TEMPLAR1,4,11.1).TEMPLAR POR INDUCCION ZONA MARCADA,30375034
FBREP,170,TEMP1,TEMPLAR1,2,REVENIR,PD0001788E
FBREP,159,TEMP1,TEMPLAR1,2,REVENIR,PD0001788E
FBREP,396,TEMP1,TEMPLAR1,3,TEMPLAR POR INDUCCIÓN ØEXTERIOR.,30321162G
FBREP,33,EMPA,EMPACAR,1,,PD01422D
FBREP,480,EMPA,EMPACAR,9,,5860012238
FBREP,101,EMPA,EMPACAR,2,,037704
FBREP,378,EMPA,EMPACAR,1,,PD0002492
FBREP,391,EMPA,EMPACAR,1,,PD0002395
FBREP,373,EMPA,EMPACAR,6,,4001190
FBREP,458,EMPA,EMPACAR,12,,30413868
FBREP,459,EMPA,EMPACAR,3,,6769-0028
FBREP,332,EMPA,EMPACAR,3,,54987-1
FBREP,253,EMPA,EMPACAR,1,,PD0002210
FBREP,257,EMPA,EMPACAR,1,,PD0002210
FBREP,439,EMPA,EMPACAR,13,,5860012237
FBREP,213,EMPA,EMPACAR,4,,412201
FBREP,240,EMPA,EMPACAR,2,,16767
FBREP,24,EMPA,EMPACAR,1,,PD0001636B
FBREP,4,EMPA,EMPACAR,2,,786581
FBREP,292,EMPA,EMPACAR,7,,1ACI000004
FBREP,441,EMPA,EMPACAR,1,NOTA: LOS TORNILLOS LLEGAN DIRECTAMENTE DONDE EL CLIENTE,PD0002978
FBREP,427,EMPA,EMPACAR,1,,PD0002587
FBREP,329,EMPA,EMPACAR,4,,1000151928
FBREP,410,EMPA,EMPACAR,4,,30375034
FBREP,147,EMPA,EMPACAR,3,,1062674
FBREP,210,EMPA,EMPACAR,1,2.1).VERIFICAR COMPONENTES.,PD19832A22
FBREP,125,EMPA,EMPACAR,2,,PD01324D2
FBREP,389,EMPA,EMPACAR,2,,110032312A
FBREP,34,EMPA,EMPACAR,1,,PD01422E
FBREP,165,EMPA,EMPACAR,1,,30301439E
FBREP,430,EMPA,EMPACAR,1,,1000134412
FBREP,215,EMPA,EMPACAR,2,,1495604
FBREP,1,EMPA,EMPACAR,1,,1ARU000001
FBREP,393,EMPA,EMPACAR,1,,PD0002538
FBREP,144,EMPA,EMPACAR,1,,PD0001955
FBREP,355,EMPA,EMPACAR,3,"NOTA: UTILIZAR AYUDA MECANICA
",30573114
FBREP,308,EMPA,EMPACAR,1,,PD0002334
FBREP,273,EMPA,EMPACAR,3,,PD0001788C
FBREP,372,EMPA,EMPACAR,6,,12689
FBREP,100,REVE,REVENIR,5,REVENIR,10020192
FBREP,358,REVE,REVENIR,3,11.1)REVENIR INMEDIATAMENTE DESPUES DE TEMPLAR.,30573114-3
FBREP,304,REVE,REVENIR,5,11.1).REVENIR INMEDIATAMENTE DESPUES DE TEMPLAR.,83094
FBREP,172,REVE,REVENIR,2,¡OJO!  REVENIR  INMEDIATAMENTE DESPUES DE TEMPLE,PD0001788D
FBREP,162,REVE,REVENIR,2,¡OJO!  REVENIR  INMEDIATAMENTE DESPUES DE TEMPLE,PD0001788D
FBREP,196,REVE,REVENIR,1,¡OJO!  REVENIR  INMEDIATAMENTE DESPUES DE TEMPLAR  -,PD0001983J
FBREP,175,REVE,REVENIR,1,¡OJO!  REVENIR  INMEDIATAMENTE DESPUES DE TEMPLE,1DCI010003
FBREP,246,REVE,REVENIR,2,¡OJO!  REVENIR  INMEDIATAMENTE DESPUES DE TEMPLE  ,PD01923A
FBREP,14,REVE,REVENIR,2,REVENIDO,102316
FBREP,117,REVE,REVENIR,2,¡OJO!  REVENIR  INMEDIATAMENTE DESPUES DE TEMPLE,PD0001616C
FBREP,120,REVE,REVENIR,4,REVENIR,PD0001616F
FBREP,475,REVE,REVENIR,1,¡OJO!  REVENIR  INMEDIATAMENTE DESPUES DE TEMPLAR  ,30607413B
FBREP,96,REVE,REVENIR,1,REVENIR,PD0001876B
FBREP,94,REVE,REVENIR,1,¡OJO!  REVENIR  INMEDIATAMENTE DESPUES DE TEMPLE  ,PD0001876A
FBREP,146,REVE,REVENIR,3,¡OJO!  REVENIR  INMEDIATAMENTE DESPUES DE TEMPLAR.,T0294
FBREP,164,REVE,REVENIR,2,¡OJO!  REVENIR  INMEDIATAMENTE DESPUES DE TEMPLE,30301439C
FBREP,486,REVE,REVENIR,1,¡OJO! REVENIR INMEDIATAMENTE DESPUES DE TEMPLAR,30586248A5
FBREP,282,FORJ7,FORJAR7,2,"RECALCAR AGUJEROS DE LA PLATINA 

NOTA: LAS PLATINAS SALEN DE LOS 8 PASOS DESENSAMBLADOS DEL PI002508 PARA COMPLETAR LA CADENCIA DE LOS 200ft",PD0002299B
FBREP,317,FORJ7,FORJAR7,1,"MPC=

MOLDE=",1ACI000010
FBREP,281,FORJ7,FORJAR7,2,"RECALCAR AGUJEROS DE LA PLATINA 

NOTA: LAS PLATINAS SALEN DE LOS 8 PASOS DESENSAMBLADOS DEL PI002508 PARA COMPLETAR LA CADENCIA DE LOS 200ft",PD0002299A
FBREP,374,RECO,RECOCER,4,"4.1) CALENTAR LAS PIEZAS HASTA 550°C CON 2 HORAS DE SOSTENIMIENTO A DICHA TEMPERATURA.
4.2) DEJAR ENFRIAR DENTRO DEL HORNO HASTA LLEGAR A 300°C Y FINALMENTE TERMINAR DE ENFRIAR AL AIRE QUIETO SIN UTILIZAR VENTILADOR.
4.3) SI EL Ø EXT ES MENOR A 460 Y ES COMPLETO RECOCER EN EL HORNO DE REVENIDO, SI ES MAYOR EN EL Ø EXT RECORCER EN EL BELLOS HORNOS.",19619
FBREP,304,RECO,RECOCER,5,"5.1).CALENTAR LAS PIEZAS HASTA 550°C CON 2 HORAS DE SOSTENIMIENTO A DICHA TEMPERATURA.
5.2).DEJAR ENFRIAR DENTRO DEL HORNO HASTA LLEGAR A 300°C Y FINALMENTE TERMINAR DE ENFRIAR AL AIRE QUIETO SIN UTILIZAR VENTILADOR.
5.3).SI EL Ø EXT ES MENOR A 460 Y ES COMPLETO RECOCER EN EL HORNO DE REVENIDO, SI ES MAYOR EN EL Ø EXT RECORCER EN EL BELLOS HORNOS.",83094
FBREP,358,RECO,RECOCER,3,"5.1) CALENTAR LAS PIEZAS HASTA 550°C CON 2 HORAS DE SOSTENIMIENTO A DICHA TEMPERATURA.
5.2) DEJAR ENFRIAR DENTRO DEL HORNO HASTA LLEGAR A 300°C Y FINALMENTE TERMINAR DE ENFRIAR AL AIRE QUIETO SIN UTILIZAR VENTILADOR.
5.3) SI EL Ø EXT ES MENOR A 460 Y ES COMPLETO RECOCER EN EL HORNO DE REVENIDO, SI ES MAYOR EN EL Ø EXT RECORCER EN EL BELLOS HORNOS.",30573114-3
FBREP,300,RECO,RECOCER,2,"3.1).CALENTAR LAS PIEZAS HASTA 550ºC CON 2 HORAS DE SOSTENIMIENTO A DICHA TEMPERATURA.

3.2).DEJAR ENFRIAR DENTRO DEL HORNO HASTA LLEGAR A 300ºC Y FINALMENTE TERMINAR DE ENFRIAR AL AIRE QUIETO SIN UTILIZAR VENTILADOR.


",PD0002111A
FBREP,254,RECO,RECOCER,1,"CALENTAR LAS PIEZAS HASTA 500ºC CON 2 HORAS DE SOSTENIMIENTO A DICHA TEMPERATURA

DEJAR ENFRIAR DENTRO DEL HORNO HASTA LLEGAR A 300ºC Y FINALMENTE TERMINAR DE ENFRIAR AL AIRE QUIETO SIN UTILIZAR VENTILADOR


",PD0002210A
FBREP,258,RECO,RECOCER,1,"CALENTAR LAS PIEZAS HASTA 500ºC CON 2 HORAS DE SOSTENIMIENTO A DICHA TEMPERATURA

DEJAR ENFRIAR DENTRO DEL HORNO HASTA LLEGAR A 300ºC Y FINALMENTE TERMINAR DE ENFRIAR AL AIRE QUIETO SIN UTILIZAR VENTILADOR


",PD0002210A
FBREP,240,RECO,RECOCER,2,"4.1).DE SER NECESARIO
4.2).RELEVAR TENSIONES (CON BASE AL TT DEL METAL BASE)",16767
FBREP,428,RECO,RECOCER,2,"5.1) CALENTAR LAS PIEZAS HASTA 550°C CON 2 HORAS DE SOSTENIMIENTO A DICHA TEMPERATURA.
5.2) DEJAR ENFRIAR DENTRO DEL HORNO HASTA LLEGAR A 300°C Y FINALMENTE TERMINAR DE ENFRIAR AL AIRE QUIETO SIN UTILIZAR VENTILADOR.
5.3) SI EL Ø EXT ES MENOR A 460 Y ES COMPLETO RECOCER EN EL HORNO DE REVENIDO, SI ES MAYOR EN EL Ø EXT RECORCER EN EL BELLOS HORNOS.",PD0002355H
FBREP,359,RECO,RECOCER,4,"5.1) CALENTAR LAS PIEZAS HASTA 550°C CON 2 HORAS DE SOSTENIMIENTO A DICHA TEMPERATURA.
5.2) DEJAR ENFRIAR DENTRO DEL HORNO HASTA LLEGAR A 300°C Y FINALMENTE TERMINAR DE ENFRIAR AL AIRE QUIETO SIN UTILIZAR VENTILADOR.
5.3) SI EL Ø EXT ES MENOR A 460 Y ES COMPLETO RECOCER EN EL HORNO DE REVENIDO, SI ES MAYOR EN EL Ø EXT RECORCER EN EL BELLOS HORNOS.",6352045180
FBREP,410,RECO,RECOCER,4,"4.1) CALENTAR LAS PIEZAS HASTA 550°C CON 2 HORAS DE SOSTENIMIENTO A DICHA TEMPERATURA.
4.2) DEJAR ENFRIAR DENTRO DEL HORNO HASTA LLEGAR A 300°C Y FINALMENTE TERMINAR DE ENFRIAR AL AIRE QUIETO SIN UTILIZAR VENTILADOR.
4.3) SI EL Ø EXT ES MENOR A 460 Y ES COMPLETO RECOCER EN EL HORNO DE REVENIDO, SI ES MAYOR EN EL Ø EXT RECORCER EN EL BELLOS HORNOS.",30375034
FBREP,318,RECO,RECOCER,1,"RECOCER A 800°C POR 2 HORAS.

NOTA:
2000 PASADORES DESENSAMBLADOS EN 420",1ACI01003A
FBREP,309,ROSC4,ROSCAR4,1,ROSCAR LAMINA,PD0002334A
FBREP,7,CIZA,CORTAR,2,A UNA LONGITUD DE 340(+1) DEFINIR,1000189006
FBREP,98,CIZA,CORTAR,2,"A UNA LONGITUD DE 733-734 
 SACAR ____  VARILLAS
DEBEN SALIR 8 UND/ VARILLA
NOTA:SE DEBE EMPEZAR DESPUNTANDO UN PEDAZO A UNA LONGITUD DE 8 mm",5860012237
FBREP,371,DESE,DESENSAMBLAR,1,1.1).DESENSAMBLAR TODOS LOS COMPONENTES DE LA CADENA ,LA00084-1
FBREP,382,ENDE,ENDEREZAR,1,SOLO SI ES NECESARIO,304499572A
